feature|target
phần lớn bệnh nhân alzheimer đều có những dấu hiệu bệnh chung như sau:  tính hay quên liên tục và tăng dần. bệnh alzheimer khởi đầu bằng một giai đoạn quên, đặc biệt là quên những sự việc mới diễn ra hoặc những việc đơn giản. nhưng về sau triệu chứng quên cứ tồn tại và tăng dần.  bệnh nhân thường quên nội dung các cuộc nói chuyện, quên các đồ vật, đặt sai vị trí của chúng, thường đặt chúng không đúng theo logic và công dụng. bệnh nhân thường quên tên bạn bè, rồi cuối cùng quên hẳn cả tên những người thân trong gia đình và tên các đồ vật thường dùng nhất, như cái lược, đồng hồ,…  khó khăn trong suy nghĩ trừu tượng. bệnh nhân alzheimer gặp rắc rối với sổ tiết kiệm của họ, nhất là phải nhận ra và hiểu các con số.  khó khăn trong tìm kiếm ngôn từ chính xác để diễn đạt. thật là một thử thách lớn lao cho các bệnh nhân alzheimer khi phải tìm kiếm các từ ngữ chính xác để diễn đạt những suy nghĩ của mình và ngay cả chỉ để hiểu kịp các cuộc nói chuyện. việc đọc và viết cũng gặp khó khăn.  mất định hướng. bệnh nhân alzheimer bị mất định hướng về thời gian và không gian. họ không nhớ rõ ngày giờ, bị lạc trong chính ngôi nhà của mình. sau cùng bệnh nhân hay đi lang thang ra khỏi nhà.mất khả năng phân tích và suy xét. việc giải quyết các vấn đề xảy ra hàng ngày (như làm thế nào để biết thức ăn trên bếp lò bị cháy) trở nên rất khó khăn. bệnh nhân alzheimer giờ đây gặp phải trở ngại lớn trong việc thực hiện những công việc đòi hỏi phải có kế hoạch, những quyết định và suy xét.  thực hiện các công việc quen thuộc khó khăn. những công việc quen thuộc hàng ngày cần phải làm qua các bước tuần tự, ví dụ như việc nấu ăn, đã trở thành một cuộc chiến đấu khó khăn cho người bệnh. cuối cùng thì bệnh nhân alzheimer quên cả cách thực hiện những công việc cơ bản nhất, như đánh răng chẳng hạn.  thay đổi nhân cách. người bệnh có tính khí thay đổi thất thường. họ hoài nghi hết thảy mọi người, cố chấp và cách ly với xã hội. lúc còn sớm, triệu chứng này có thể là phản ứng của người bệnh với tâm trạng thất vọng khi họ nhận thấy mình không thể kiểm soát được trí nhớ. vì vậy mà trầm cảm hay đi đôi với bệnh alzheimer. mất ngủ cũng thường xảy ra. khi bệnh tiến triển nặng, bệnh nhân trở nên khó tính, hay kích động và cư xử không phù hợp.  điển hình, những người thân của bệnh nhân alzheimer ghi nhận một sự thay đổi dần dần, không phải đột ngột. đến khi bệnh tiến triển, các triệu chứng ngày càng nặng lên buộc bệnh nhân hoặc người nhà phải tìm đến sự giúp đỡ của thầy thuốc. nhiều bệnh nhân alzheimer cũng nhận ra rằng trí nhớ của mình có vấn đề, có thể sẽ rất nặng nề.  quá trình bệnh lý xảy ra nhanh hay chậm tùy thuộc rất nhiều vào từng cá thể. từ triệu chứng quên đơn giản đến lúc sa sút trí tuệ nặng nề có thể kéo dài 5 năm, nhưng cũng có người đến 10 năm hoặc lâu hơn.  bệnh alzheimer thường diễn tiến từ nhẹ đến vừa, đến nặng. bệnh nhân còn ở giai đoạn nhẹ thường có thể sống một mình được và có thể xử lý công việc khá tốt. ở giai đoạn vừa, người bệnh sẽ gặp khó khăn lớn nếu không có người giúp đỡ; còn ở giai đoạn cuối, thường không thể tự chăm sóc bản thân họ được.  các nhà nghiên cứu đã gọi giai đoạn mất trí nhớ là giai đoạn suy giảm nhận thức nhẹ, hay giai đoạn tiền alzheimer. giai đoạn này là thời khoảng giao nhau giữa những triệu chứng suy giảm trí nhớ bình thường do tuổi già và những triệu chứng nhẹ đầu tiên của alzheimer.  bệnh nhân suy giảm nhận thức nhẹ, mất trí nhớ vượt quá ngưỡng bình thường ở tuổi của họ, nhưng chưa phải là sa sút trí tuệ của alzheimer. việc phân loại dạng mất trí nhớ này giúp các thầy thuốc chẩn đoán chính xác hơn để hỗ trợ hữu hiệu cho người bệnh. nó giúp cảnh báo cho bệnh nhân nguy cơ cao phát triển bệnh alzheimer.|alzheimer
vài tình huống bị chuột rút nghiêm trọng có thể gây đau đớn và sưng cơ bắp. vào thời điểm bị chuột rút, các cơ bắp vùng bị ảnh hưởng nổi mấu, phồng lên, cứng và rất nhạy cảm.|chuột rút co cứng
khó nuốt thức ăn đặc gặp ở hầu hết các bệnh nhân. khó nuốt thức ăn lỏng chiếm khoảng 2/3 các trường hợp.nôn mửa chiếm 60 90% bệnh nhân. nôn thường xảy ra sớm sau ăn hoặc khi nằm nghiêng.đau ngực gặp ở 1/3 trong tổng các bệnh nhân co thắt tâm vị. đau ở vị trí sau xương ức và thường xảy ra sau ăn.các triệu chứng khác như sụt cân (liên quan đến khó nuốt và nôn), các triệu chứng về hô hấp có liên quan đến sặc thức ăn hay viêm phổi do hít.|co thắt tâm vị
đau ép ngực, thường xuyên căng thẳng, có thể nhầm lẫn với đau tim (đau thắt ngực).  khó nuốt (chứng khó nuốt).  cảm giác một thứ gì đó mắc kẹt trong cổ họng.  sự trào lại thực quản của thực phẩm và chất lỏng (nôn).đi khám bác sĩ nếu có các dấu hiệu và triệu chứng lo âu. co thắt thực quản có thể gây đau ép ngực   một triệu chứng cũng có thể gặp do cơn đau tim. nếu bị đau ép ngực và không chắc chắn những gì gây ra các triệu chứng, hãy đi khám ngay.|co thắt thực quản
cơn đau quặn thận thường xuất hiện sau một gắng sức với đặc điểm đau vùng hố thắt lưng, đau lan phía trước vùng hạ sườn phải hoặc hạ sườn trái, lan xuống vùng bẹn, vùng sinh dục ngoài. đau dữ dội không có tư thế nào giảm đau. đau toát mồ hôi, đôi khi buồn nôn, nôn, mót đi ngoài, buồn đi tiểu, bụng chướng, mặt tái nhợt. cơn đau thường kéo dài 20 60 phút, thậm chí lâu hơn trong vài giờ. đau có thể kèm theo đái máu, sốt hoặc ớn lạnh.  cơn đau quặn thận có thể xuất hiện đột ngột do sự căng trướng đột ngột của vỏ bao thận hoặc của niệu quản và đài bể thận. nó có thể xảy ra sau khi chơi thể thao, lao động hay đi một quãng đường xa. bệnh nhân đau như dao đâm, như có sự co thắt ở bên trong.  cơn đau có thể xuất phát từ thận: đau khu trú ở vùng sườn, thắt lưng, dưới xương sườn 12, bên ngoài của khối cơ chung thắt lưng   cùng, lan ra phía trước, hướng về phía rốn và hố chậu. cơn đau này gặp trong viêm bể thận cấp tính, sỏi bể thận gây ứ nước cấp tính, gây sự căng trướng đột ngột của bao thận hoặc sỏi niệu quản ở 1/3 trên.  nhiều trường hợp cơn đau xuất phát từ niệu quản. người bệnh đau từ hố thắt lưng và lan xuống dưới, dọc theo đường đi của niệu quản đến hố chậu, bộ phận sinh dục và mặt trong của đùi.nếu hòn sỏi xuống đến phần cuối của niệu quản thì có thể gây ra phù nề và viêm nhiễm ở lỗ niệu, làm bệnh nhân có dấu hiệu đái rắt. kèm theo cơn đau, bệnh nhân có thể nôn mửa hay buồn nôn, trướng bụng, có thể có sốt và rét run trong trường hợp nhiễm trùng niệu kết hợp.  thăm khám người bệnh thấy đau nhói ở điểm sườn thắt lưng, dưới xương sườn 12 và cả hố chậu cũng rất đau. nếu lúc đang cơn đau thì khi sờ nhẹ vào hố thắt lưng, bệnh nhân đã giật nảy người. các xét nghiệm cần làm là thử nước tiểu, xét nghiệm máu, chụp xquang hệ tiết niệu, siêu âm thận…, theo dõi số lượng nước tiểu trong 24 giờ.  một số triệu chứng khác gợi ý tình trạng nặng như sốt cao trên 38,5 độ c, đau nặng dữ dội, không đi tiểu được, nôn nhiều không kiểm soát được. khi có một trong các triệu chứng trên cần nhập viện cấp cứu.|cơn đau quặn thận
cơn đau thắt ngực thường cho những cảm giác như: bị đè ép, nặng, bóp nghẹn, co xiết, hoặc đau dọc theo ngực, đặc biệt là phía sau xương ức. cơn đau thường lan đến cổ, quai hàm, cánh tay, lưng, hoặc thậm chí là răng.bệnh nhân cũng có thể cảm thấy: ăn không tiêu, bỏng rát ngực, yếu ớt, vã mồ hôi, buồn nôn, chuột rút và khó thở.  khó thở nhanh, nông.  đánh trống ngực, hồi hộp.  buồn nôn, chóng mặt, vã mồ hôi.  có trường hợp xuất hiện đái nhiều  cơn đau khởi phát chủ yếu do gắng sức, khi thời tiết lạnh hoặc sau ăn no.  vị trí đau ở giữa phía sau xương ức; đau kiểu co thắt đè nặng hay cảm giác bị ép, có khi đau rát, đôi khi gây nghẹt thở.đau thường lan lên cổ, xương hàm, vai; hoặc lan ra cánh tay, bờ trong của cẳng tay đến tận ngón 4, 5 ở một hoặc cả 2 bên; thời gian của cơn đau thường ngắn 2 5 phút, mất dần sau khi ngưng gắng sức hoặc dùng thuốc giãn mạch vành (trinitrine).|cơn đau thắt ngực
người mắc bệnh hen phế quản dạng ho thường không biểu hiện các triệu chứng hen phế quản thông thường như thở khò khè hay khó thở. thay vào đó, họ thường có triệu chứng điển hình là ho khan và không chứa đờm. ho khan thường kéo dài ít nhất từ 6 đến 8 tuần.  ngoài ra, hen phế quản dạng ho cũng gây ra tình trạng sưng viêm trong đường dẫn khí. vì vậy, nếu bạn bỏ qua hoặc không chữa trị bệnh này đúng cách, bệnh sẽ ngày càng trầm trọng và có thể phát triển thành hen phế quản mạn tính.|cơn hen phế quản
do nguyên nhân nào, áp xe cũng đều diễn tiến qua 3 giai đoạn1. giai đoạn nung mủ kína. cơ năng: giai đoạn này chỉ có ho khan hoặc có khi khạc ít đờm. triệu chứng đau ngực âm ỉ, đau sâu và tăng lên khi ho hay thở sâu, ít khó thở trừ khi thương tổn phổi lan rộng hay do tình trạng nhiễm độc nhiễm trùng nặng.b. toàn thân: sốt cao, rét run, mệt mỏi, chán ăn, gầy sút, vẻ mặt hốc hác, nước tiểu ít, sẫm màu.c. thực thể: thường rất nghèo nàn, có khi giống một hội chứng đông đặc phổi không điển hình.d. cận lâm sàng:  xét nghiệm máu thấy bạch cầu tăng, bạch cầu đa nhân tăng, máu lắng cao.  chụp phim phổi có thể thấy một hình mờ tròn hay bầu dục, thường gặp ở đáy phổi phải hơn.2. giai đoạn khái mủsau thời gian nung mủ khoảng 5 7 ngày tùy loại vi khuẩn, bệnh nhân đau ngực tăng lên, ho nhiều, tình trạng suy sụp, hơi thở hôi, có thể có khái huyết trước rồi sau đó đau ngực và ho nhiều rồi ộc ra nhiều mủ, thường rất hôi thối, số lượng có khi 300 400 ml, có trường hợp chỉ ho ra mủ ít, từng bãi đặc như hình đồng xu và kéo dài. sau khi ộc mủ thì người cảm thấy dễ chịu hơn, sốt giảm, đau ngực giảm dần.3. giai đoạn nung mủ hởsau thời gian từ 3 5 ngày, tình trạng nhiễm trùng giảm dần, dấu hiệu cơ năng giảm nếu có điều trị tốt. nhưng thường là hội chứng nhiễm trùng kéo dài, thể trạng suy sụp nhiều do mủ chưa được tống ra hết gây viêm nhiễm kéo dài và có khi lan rộng thêm, do điều trị không đúng hay sức đề kháng xấu.biểu hiện suy hô hấp mạn, ngón tay hình dùi trống.khám phổi ở giai đoạn này có hội chứng hang với ran ẩm to hạt, âm thổi hang và có thể nghe được tiếng ngực thầm. chụp phim phổi thấy có một hình hang tròn, bờ dày, có mức hơi nước. quan trọng nhất là xét nghiệm đờm để tìm nguyên nhân gây bệnh khi chưa sử dụng kháng sinh.|áp-xe phổi
tăng huyết áp trung bình đến nặng.cao huyết áp   có dùng một số thuốc để kiểm soát.cao huyết áp cùng với một mức độ kali thấp (hạ kali máu).|cường aldosterone
hầu hết trẻ bị cong vẹo cột sống không có triệu chứng đau nhưng có thể bị gù một bên lưng hoặc có một bên vai cao hơn bên kia khi cúi người về trước. ngoài ra, hông của trẻ sẽ phát triển không đều và hay dựa vào một bên.  ở người lớn, đau cột sống là dấu hiệu phổ biến nhất của chứng cong vẹo cột sống nặng. những dấu hiệu và triệu chứng khác bao gồm: giảm chiều cao, tăng độ nhô lên của xương sườn hoặc thay đổi vòng eo không phải do tăng cân. vòng eo bụng thay đổi càng nhiều nghĩa là bị cong càng nặng.  khi cột sống bị cong nặng, người bệnh sẽ cảm thấy mệt mỏi, đau cột sống và nặng nhất là khỏ thở. chứng cong vẹo cột sống gây ra các vấn đề về cảm xúc khá nghiêm trọng, đặc biệt là đối với trẻ vị thành niên.|cong vẹo cột sống
